CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
A00005,福廣仁愛停車場,133,9,0,0,3,4
A00048,博客停車場寶雅吉安場,18,1,0,0,18,1
A00031, 東芥東大門停車場,161,1,0,0,161,2
A00002,永發停車場-東洋站,223,9,0,0,5,254
A00012,節約街停車場,78,9,0,0,2,4
A00003,丞捷停車場 ,20,9,0,0,1,5
A00033,花蓮民生停車場,25,1,0,0,24,254
A00079,城中大樓停車場,80,1,0,0,80,1
A00072,好樂停 HAPPY PARKING–忠孝停車場,13,1,0,0,13,4
A00024,停佳安(花蓮停四)機車停車場,495,10,0,0,10,254
A00023,彪吉利停車場(國盛站),15,15,0,0,15,3
A00066,花蓮國聯停車場,100,1,0,0,100,4
A00078,TIMES 花蓮延平街,60,0,0,0,60,3
A00010,花蓮市忠孝立體停車場,90,1,0,0,8,4
A00032,建程自由街停車場,93,9,0,0,1,254
A00018,彪吉利停場車(國民段469號),185,2,0,0,185,4
A00067,市八十三街停車場,26,15,0,0,26,5
A00057,國聯停車場,21,1,0,0,21,5
A00060,福品旅店停車場,21,1,0,0,20,2
A00004,後火車站機車停車場,340,10,0,0,7,254
A00054,盛昌停車場,20,1,0,0,19,4
A00061,富裕二街停車場,55,1,0,0,55,5
B38,明義,33,1,0,0,32,255
915,美術館平面,65,2,0,0,0,255
844,大社停一,28,1,0,0,28,255
953,竹東,34,10,0,0,0,255
818,觀湖,80,5,0,0,0,255
D95,惠豐,45,2,0,0,0,255
AD25,光武國小地下立體停車場,131,4,0,0,0,255
818c,勞工公園大客車,9,9,0,0,0,255
857,二苓,36,2,0,0,24,255
AD15a,林園田中央,45,10,0,0,0,255
448,常德,31,5,0,0,0,255
560,旗津老街,105,10,0,0,0,255
A23,裕興（含第二）,6,4,0,0,0,255
AD26,鳳山體育場停車場,0,4,0,0,0,255
780a,正勤（中華）,62,1,0,0,58,255
AA23,美術館(立體),398,4,0,0,0,255
821,九曲堂,46,5,0,0,0,255
A77,金鼎,37,9,0,0,1,255
920,三山,99,2,0,0,0,255
C96,龍江公園,76,2,0,0,47,255
996,前峰,65,2,0,0,0,255
843,大樹舊鐵橋,154,2,0,0,0,255
827,楠梓運動場,143,9,0,0,0,255
919,環潭,32,5,0,0,0,255
965,福裕,114,2,0,0,0,255
520,臥龍,28,4,0,0,0,255
818a,育英,52,5,0,0,0,255
459,大寮停二,223,10,0,0,0,255
AD28,高雄高工立體停車場,640,9,0,0,0,255
