CarParkID,CarParkName_Zh_tw,OpeningHours_ServiceDay_ServiceTag,OpeningHours_ServiceDay_Monday,OpeningHours_ServiceDay_Tuesday,OpeningHours_ServiceDay_Wednesday,OpeningHours_ServiceDay_Thursday,OpeningHours_ServiceDay_Friday,OpeningHours_ServiceDay_Saturday,OpeningHours_ServiceDay_Sunday,OpeningHours_ServiceDay_NationalHolidays,OpeningHours_Description,OpeningHours_StartTime,OpeningHours_EndTime,OpeningHours_FreeOfCharge
KEE11205,中興國小停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12115,八斗子漁港C區停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12105,基隆和平島公園停車場,營運日淡季,1,1,1,1,1,1,1,1,淡季,08:00,18:00,0
KEE11703,基隆七堵停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE11102,正濱國小收費立體停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12112,南區大客車停車場,平日,1,1,1,1,1,0,0,0,整日,00:00,24:00,0
KEE12111,65高地停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營運,00:00,24:00,0
KEE12117,基隆社寮橋停車場,營運日,1,1,1,1,1,1,1,1,營運時段,00:00,24:00,0
KEE11302,基隆成功站,全年無休,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12402,西三停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12706,光明停二停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE22112,基隆八尺門停車場,營運日,1,1,1,1,1,1,1,1,營業時間,00:00,24:00,0
KEE11303,南榮公墓殯儀館停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12401,基隆市中和路168巷停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE11104,中正區行政大樓地下停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12109,濱海遊憩區停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營業,00:00,24:00,0
KEE12113,基隆和一停車場,營運日,1,1,1,1,1,1,1,1,營業時間,00:00,24:00,0
KEE12107,區域探索館平面停車場,假日,0,0,0,0,0,1,1,1,整日,00:00,24:00,0
KEE12707,福六街停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE12110,潮境公園停車場,假日,0,0,0,0,0,1,1,1,整日,00:00,24:00,0
KEE12203,基隆六合停車場,平日假日國定假日,1,1,1,1,1,1,1,1,平日假日國定假日,00:00,24:00,0
KEE12502,基隆安和停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營業,00:00,24:00,0
KEE12705,光明停一停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE22111,非凡物業管理顧問有限公司和平島停車場,全年營運,1,1,1,1,1,1,1,1,全年營運,00:00,24:00,0
KEE11304,銘傳立體停車場,不限營運日,1,1,1,1,1,1,1,1,全天營業時間,00:00,24:00,0
KEE12114,八斗子觀光漁港停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
