CarParkID,CarParkName_Zh_tw,Description,HourlyRates
11006A,西市場忠義街停車場,平面式小型停車場74格,"[{'RateName': '20元/1hr', 'RateDescription': '20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10915,轉運中心地下停車場,平面式小型停車場68格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '轉運中心地下停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10909B,舊市公所停車場,平面式小型停車場120格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '舊市公所停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
Cityparking1,嘉義成仁站停車場,平面式小型停車場68格,"[{'RateName': '嘉義成仁站停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 30, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10906,垂楊國小地下停車場,平面式小型停車場201格(含婦幼停車位4格、身心障礙車位4格),"[{'RateName': '垂楊國小地下停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10819,中央廣場地下停車場,平面式小型停車場130格(含婦幼停車位3格、身心障礙車位4格),"[{'RateName': '中央廣場地下停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'ServiceTag': '全年適用', 'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10802,嘉義中興停車場,平面式小型停車場65格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '嘉義中興停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 10, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
11010,嘉義蘭井街停車場,平面式小型停車場55格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '平日', 'RateDescription': '平日1小時40元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 40, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日1小時50元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 50, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10918,新民二站停車場,平面式小型停車場39格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '平日', 'RateDescription': '平日1小時30元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 30, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日半小時25元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 25, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10816,停14(蘭停八)停車場,平面式小型停車場45格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '停14(蘭停八)停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
