CarParkID,CarParkName_Zh_tw,EntranceExitType,EntranceExits_EntranceExitName_Zh_tw,EntranceExits_Position_PositionLat,EntranceExits_Position_PositionLon,EntranceExits_Type,EntranceExits_MaxAllowedHeight,EntranceExits_RoadID,EntranceExits_RoadName,EntranceExits_LinkID,EntranceExits_Bearing
A00022,佛教慈濟醫療財團法人花蓮慈濟醫院停車場,1,中央路出入口,23.99535,121.5931,1,,,中央路,,W
A00016,P&P停車場,1,福町路上,23.97546,121.6096,1,500,680158U,福町路,6801580700000U,NW
A00042,臺灣基督教門諾會醫療財團法人門諾醫院收費停車場,1,民權九街出熱口,23.98826,121.6272,1,,,民權九街,,SW
A00065,花蓮文化創意產業園區停車場,1,自由街路口,23.97621,121.6049,1,,,自由街,,NW
A00071,花蓮中山停車場,1,建中街,23.98657,121.6013,254,,,建中街,,SW
A00012,節約街停車場,1,節約街出入口,23.98,121.60965,1,,,節約街,,NE
A00054,盛昌停車場,1,富裕五街入口  富裕五街出口,23.99711,121.60749,2,,,國富五街,,SW
A00010,花蓮市忠孝立體停車場,2,,,,,,,,,
A00004,後火車站機車停車場,2,,,,,,,,,
A00060,福品旅店停車場,1,廣東街,23.97243,121.60735,1,,,廣東街,,SW
A00057,國聯停車場,1,國聯停車場,23.99205,121.6056,1,,679923U,國聯四路,6799230200030U,E
A00032,建程自由街停車場,1,廣東街,23.9733,121.60874,3,,,廣東街,,NE
A00023,彪吉利停車場(國盛站),1,(國盛站)停車場出入口,23.99113,121.60575,1,,,國民七街,,W
KIN0004,山外車站停車場,2,,,,,,,,,
KIN0001,金門航空站第三停車站,1,金門航空站第三路外停車場,24.43606,118.3661,1,,,中山路,,NW
KIN0002,金門高中停車場,1,金中出入口,24.4348,118.31368,1,,,光前路,,NW
LIE002,介壽地下停車場,1,介壽地下停車場出入口,26.15521,119.95147,1,,,無名,,E
LIE003,仁愛停車場,1,仁愛停車場出入口,26.14287,119.92547,2,,,津板路,,W
MIA029,叭叭房文林停車場,1,文林路,24.6981,120.89094,2,,,文林路,,W
MIA003,苗栗市停一停車場,1,忠孝路.民族路.北安街.自治路,24.52329,120.94191,1,200,,無名,,N
MIA023,叭叭房銀河停車場,2,,,,,,,,,
MIA001,苗栗中正站停車場,1,苗栗市中正路,24.52316,120.94192,1,200,,無名,,N
MIA010,南庄遊客中心停車場,1,大同路出入口,24.59737,120.99998,254,,648041K,大同路,6480410700010K,NW
MIA026,叭叭房廣停六停車場,2,,,,,,,,,
MIA014,後龍停一立體停車場,1,苗栗縣後龍鎮東門街 ,24.61573,120.7903,1,400,,中正路,,N
MIA006,苗栗市停八停車場,1,饒平街,24.52093,120.94339,1,200,,無名,,S
MIA030,叭叭房廣停四停車場,1,八德一路,24.69281,120.8925,2,,648004K,八德一路,6480040400020K,S
MIA016,尚順育樂世界停車場,1,育樂天地,24.68755,120.9051,1,210,,中央路,,E
MIA027,叭叭房民生停車場,1,中華路轉中民路,24.6784,120.89754,2,,,中民路,,NW
MIA013,Times苗栗莊敬街停車場,1,莊敬街處入口,24.55967,120.8188,1,,,莊敬街,,NE
MIA007,苗栗市停十停車場,1,民生街,24.52225,120.94224,1,200,,無名,,S
MIA004,苗栗市停四停車場,1,中山北路與中華路之間,24.50743,120.94491,1,200,,無名,,NW
MIA022,叭叭房光華停車場,2,,,,,,,,,
MIA005,苗栗市停五停車場,1,英明街與育賢街交叉口夜市旁,24.51591,120.94113,1,200,,無名,,N
MIA019,聯永客家委員會停車場,1,客家委員會停車場銅科南路出入口,24.46233,120.76984,2,,,銅科南路,,SE
MIA021,台鐵苗栗東站停車場,1,站前圓環,24.5697,120.82274,1,,,為公路,,E
MIA017,富山中山路停車場,1,中山路出入口,24.56048,120.82133,3,,648085K,中山路,6480850500010K,SW
MIA020,台鐵豐富站停車場,1,高鐵一路,24.60373,120.82735,1,,,高鐵一路,,SW
MIA025,叭叭房廣停二停車場,1,自強路185號,24.68633,120.90618,1,,,自強路,,NE
MIA008,苗栗市停十五停車場,1,英才路,24.52274,120.94234,1,200,,無名,,N
